iter	Passed	Remaining
908	1620	162
909	1621	160
910	1622	158
911	1624	156
912	1626	154
913	1627	153
914	1628	151
915	1631	149
916	1633	147
917	1635	146
918	1636	144
919	1638	142
920	1639	140
921	1641	138
922	1642	137
923	1644	135
924	1645	133
925	1647	131
926	1648	129
927	1650	128
928	1651	126
929	1652	124
930	1655	122
931	1656	120
932	1657	119
933	1659	117
934	1660	115
935	1661	113
936	1662	111
937	1664	110
938	1665	108
939	1667	106
940	1669	104
941	1672	102
942	1673	101
943	1674	99
944	1676	97
945	1677	95
946	1679	93
947	1680	92
948	1682	90
949	1684	88
950	1686	86
951	1687	85
952	1689	83
953	1690	81
954	1691	79
955	1693	77
956	1694	76
957	1696	74
958	1699	72
959	1701	70
960	1703	69
961	1704	67
962	1706	65
963	1707	63
964	1708	61
965	1709	60
966	1711	58
967	1713	56
968	1715	54
969	1717	53
970	1718	51
971	1720	49
972	1721	47
973	1722	45
974	1724	44
975	1725	42
976	1729	40
977	1731	38
978	1732	37
979	1734	35
980	1735	33
981	1737	31
982	1738	30
983	1739	28
984	1741	26
985	1743	24
986	1745	22
987	1746	21
988	1748	19
989	1750	17
990	1751	15
991	1753	14
992	1754	12
993	1757	10
994	1758	8
995	1760	7
996	1761	5
997	1763	3
998	1765	1
999	1766	0
